nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.568218	0.742868	126.852826	9.353129	0.0008	0.61141	0.579294	205.0	0.662814	-1.766309	4.967323	0.133435	8.135827e-005	0.008936	599.216009	6.830055	100.948154	599.254933	0.011398	8.053184	0.091793	8.053707	7.126474e-005	141.859473	0.072007	
5.578214	0.822669	126.8836	9.354408	0.000786	0.611483	0.579294	205.0	0.66304	-1.821226	4.967333	0.13348	8.138592e-005	0.008936	413.061096	5.07407	48.006739	413.09226	0.012284	8.050376	0.098891	8.050983	7.677584e-005	298.327727	0.151448	
5.588211	0.765933	126.898576	9.390402	0.000796	0.61152	0.579294	205.0	0.662802	-1.768707	4.967326	0.133432	8.135677e-005	0.008936	531.265692	6.076392	79.555342	531.30044	0.011438	8.053321	0.09211	8.053848	7.151141e-005	180.474712	0.09161	
5.598208	0.705429	126.905092	9.419333	0.000806	0.611536	0.579294	205.0	0.663017	-1.821812	4.967317	0.133476	8.138314e-005	0.008936	957.571192	11.772625	259.151819	957.643558	0.012294	8.050611	0.098976	8.051219	7.684177e-005	55.514371	0.028177	
5.608205	0.720173	126.892805	9.401634	0.000804	0.611507	0.579294	205.0	0.662771	-1.767115	4.967319	0.133426	8.135295e-005	0.008936	759.433751	8.667108	162.677204	759.483207	0.011413	8.053676	0.091913	8.054201	7.135835e-005	88.328008	0.044833	
5.618202	0.834969	126.87038	9.336792	0.000784	0.611452	0.579294	205.0	0.663017	-1.820702	4.967335	0.133475	8.138317e-005	0.008936	395.261036	4.852287	43.901445	395.290819	0.012276	8.050639	0.098831	8.051245	7.672892e-005	325.8236	0.16541	
5.628198	0.754716	126.846397	9.342543	0.000798	0.611394	0.579294	205.0	0.662791	-1.76717	4.967324	0.13343	8.135536e-005	0.008936	551.992406	6.299851	85.594782	552.028355	0.011413	8.053456	0.091914	8.053981	7.135851e-005	167.181533	0.084862	
5.638195	0.76105	126.810369	9.304225	0.000797	0.611307	0.579294	205.0	0.661456	-1.757727	4.967325	0.133161	8.119153e-005	0.008936	520.049659	5.874247	75.481517	520.082835	0.011296	8.068915	0.091143	8.06943	7.076016e-005	189.07344	0.095976	
5.648192	0.74124	126.77116	9.272398	0.0008	0.611213	0.579294	205.0	0.661093	-1.697999	4.967322	0.133088	8.114698e-005	0.008936	571.747089	5.909151	90.930877	571.777624	0.010335	8.073355	0.08344	8.073786	6.478008e-005	156.599391	0.079489	
5.658189	0.800935	126.733434	9.212644	0.00079	0.611122	0.579294	205.0	0.661244	-1.762655	4.96733	0.133119	8.116553e-005	0.008936	423.888832	4.824396	49.796253	423.916285	0.011381	8.071355	0.091862	8.071877	7.131874e-005	284.75987	0.144558	
5.668186	0.820476	126.700547	9.17258	0.000787	0.611042	0.579294	205.0	0.659507	-1.804996	4.967333	0.132769	8.095229e-005	0.008936	392.632066	4.757102	42.392145	392.660883	0.012116	8.09136	0.098034	8.091953	7.611048e-005	333.550311	0.169334	
5.678182	0.806605	126.674853	9.152065	0.000789	0.61098	0.579294	205.0	0.658969	-1.826326	4.967331	0.132661	8.088622e-005	0.008936	407.002027	5.078164	45.416468	407.033706	0.012477	8.097538	0.101033	8.098169	7.843853e-005	310.88715	0.157825	
5.688179	0.798535	126.655451	9.135694	0.00079	0.610934	0.579294	205.0	0.658773	-1.774488	4.96733	0.132621	8.086222e-005	0.008936	415.566728	4.837255	47.263941	415.59488	0.01164	8.100037	0.094286	8.100585	7.320007e-005	298.388651	0.151479	
5.698176	0.907822	126.652124	9.091979	0.000771	0.610925	0.579294	205.0	0.657359	-1.76178	4.967345	0.132336	8.068866e-005	0.008936	314.234914	3.604836	26.830548	314.25559	0.011472	8.116652	0.093113	8.117186	7.228935e-005	524.004353	0.266062	
